sex,age,method,tuning_decisions,fallback_rate,boundary_rate,lambda_factor_mean,h_factor_mean,k_target_mean_mean,R_MB_mean_mean,R_GH_mean_mean,bias_score_mean_mean,bias_budget_mean_mean,gh_gamma_eff_mean_mean,edge_score_mean_mean,pc_ratio_mean_mean,J_w_mean_mean,sw_proxy_mean_mean,op_score_mean,loc_score_mean
2,80,GH_P1_c15,50,0.0,1.0,199.52623149688807,1.4000000000000004,4509.94,22.505733371104135,13.277515923896114,13.277515923896114,15.0,0.3821157885682917,0.8133850051549868,15.709586045742356,0.5829662466768016,1.2404463537384107,0.0435815345814444,0.038056102323109096
2,81,GH_P1_c15,50,0.0,1.0,199.52623149688807,1.4000000000000004,4519.11,23.592064942758206,13.468292149132042,13.468292149132042,15.0,0.3821157885682917,0.8213441776814241,15.408010496728219,0.5799357762234296,1.2408560052512592,0.043298580231812996,0.038348898844199654
2,82,GH_P1_c15,50,0.0,1.0,199.52623149688807,1.4000000000000004,4538.25,24.998268293872055,13.620053209871463,13.620053209871463,15.0,0.3821157885682917,0.8292560091019172,15.091283604180893,0.5785302778453049,1.2377672518964666,0.04289405789343788,0.03850175389009054
2,83,GH_P1_c15,50,0.0,1.0,199.52623149688807,1.4000000000000004,4552.04,26.26767409653244,13.80370360058719,13.80370360058719,15.0,0.3821157885682917,0.8368175491477767,14.711195348201727,0.5762716945141344,1.236078424102788,0.042563205375776764,0.038738137234842616
2,84,GH_P1_c15,50,0.0,1.0,199.52623149688807,1.4000000000000004,4566.24,27.703282845007443,14.012265255639797,14.012265255639797,15.0,0.3821157885682917,0.8448161313142885,14.170924919762161,0.5736469843243657,1.234470278601077,0.04220923864231592,0.03901542199375531
2,85,GH_P1_c15,50,0.0,1.0,199.52623149688807,1.4000000000000004,4578.46,29.055651328115015,14.184144005057323,14.184144005057323,15.0,0.3821157885682917,0.8511092874035111,13.686539987016417,0.5716536596772445,1.2326396968195361,0.04191440301848118,0.03923328500864635
2,86,GH_P1_c15,50,0.0,1.0,199.52623149688807,1.4000000000000004,4591.62,30.483620983451104,14.352147620003013,14.352147620003013,15.0,0.3821157885682917,0.8572619655186824,13.088430351202037,0.5698825661042144,1.23029309368845,0.041606901230822946,0.03943296919676909
2,87,GH_P1_c15,50,0.0,1.0,199.52623149688807,1.4000000000000004,4607.41,32.12757013498313,14.51931311284709,14.51931311284709,15.0,0.3821157885682917,0.8633068109993322,12.49598164699081,0.5684467523042394,1.227057566221742,0.04127258969561157,0.039616958804824735
2,88,GH_P1_c15,50,0.0,1.0,199.52623149688807,1.4000000000000004,4617.15,33.65719901371458,14.737469226616197,14.737469226616197,15.0,0.3821157885682917,0.8695482788998468,11.726043893411873,0.5656669892342857,1.2257875200086588,0.04099660694175908,0.0399185181857853
2,89,GH_P1_c15,50,0.0,1.0,192.549956414256,1.4000000000000004,4626.66,34.379230322587176,14.514980887853694,14.514980887853694,15.0,0.3821157885682917,0.8742735731477943,10.96959375987584,0.5706584178066105,1.2317648221363182,0.041488711807582616,0.041221120286443605
2,90,GH_P1_c15,50,0.0,1.0,169.15891643131334,1.4000000000000004,4639.91,33.66843014849234,13.404101388268048,13.404101388268048,15.0,0.3821157885682917,0.8793327575321673,10.065273533246156,0.5914809230456449,1.2556958454436011,0.043601504577391266,0.045161847483832965
2,91,GH_P1_c15,50,0.0,1.0,160.13079573614243,1.4000000000000004,4644.84,33.82096705184293,13.03183707361543,13.03183707361543,15.0,0.3821157885682917,0.8823127820883707,9.64818184424613,0.5983733113501671,1.2655947316519152,0.04437394517835716,0.04683498748494737
2,92,GH_P1_c15,50,0.0,1.0,158.48931924611136,1.4000000000000004,4657.85,35.41847391378471,13.114671558407995,13.114671558407995,15.0,0.3821157885682917,0.8873478131690612,8.973472715281925,0.5981166475606352,1.2643527945290918,0.04418089974584863,0.047386944086093584
2,93,GH_P1_c15,50,0.0,1.0,158.48931924611136,1.4000000000000004,4666.98,36.94993384842305,13.27344047122522,13.27344047122522,15.0,0.3821157885682917,0.8914885134498458,8.406544723892878,0.5962604304340987,1.2619719906824718,0.043907742788654475,0.047664675805445714
2,94,GH_P1_c15,50,0.0,1.0,158.48931924611136,1.4000000000000004,4686.7,39.96339140383542,13.737854683200736,13.737854683200736,15.0,0.3821157885682917,0.9025444591642396,5.996837727016876,0.5906545408964535,1.2550720936034598,0.04321231880216336,0.04843774403303261
2,95,GH_P1_c15,50,0.0,1.0,158.48931924611136,1.4000000000000004,4685.67,40.2474957486477,13.595223229040766,13.595223229040766,15.0,0.3821157885682917,0.89945708451685,7.428493851736386,0.5926499154059666,1.2569031142608202,0.0433532782501395,0.04822567484985382
2,96,GH_P1_c15,50,0.0,1.0,158.48931924611136,1.4000000000000004,4694.72,42.03553602288885,13.757390266321709,13.757390266321709,15.0,0.3821157885682917,0.9032260604742457,6.974177438878601,0.5908867885084479,1.2542229651044272,0.04308222957686047,0.04850339898636546
2,97,GH_P1_c15,50,0.0,1.0,158.48931924611136,1.4000000000000004,4702.07,43.695063751995455,13.88112685917233,13.88112685917233,15.0,0.3821157885682917,0.9060935251408169,6.635519093363368,0.5896560888103811,1.251805620714001,0.042863899253962626,0.04870376708861998
2,98,GH_P1_c15,50,0.0,1.0,158.48931924611136,1.4000000000000004,4712.66,45.72766866227819,14.055525480454342,14.055525480454342,15.0,0.3821157885682917,0.9100138754412082,6.245824896648114,0.5879856912783576,1.2483121991328303,0.04255679365735804,0.048986766429066145
2,99,GH_P1_c15,50,0.0,1.0,158.48931924611136,1.4000000000000004,4720.42,47.56762269034553,14.181881424544434,14.181881424544434,15.0,0.3821157885682917,0.912797322123691,5.9529640174593075,0.5868289524517241,1.2456211045322905,0.042329289869161485,0.049185689037409705
2,100,GH_P1_c15,50,0.0,1.0,158.48931924611136,1.4000000000000004,4727.4,49.387101998374774,14.340268150917632,14.340268150917632,15.0,0.3821157885682917,0.9158580042404573,5.664113975904289,0.5851475686437948,1.2429829544544804,0.042106558577585815,0.049451189976588095
