x0_index,method,dataset,reference,method_family,n_reps,coverage,bias,abs_bias,rmse,width,theta0,theta_hat_mean,n_unlab_clusters,coverage_cluster_se
21,PPI_global,blogfeedback,matern52_1.2h0,PPI,300,0.7966666666666666,0.05056086789839718,0.05056086789839718,0.061883349497639115,0.15212798806407327,0.5761162098374163,0.6266770777358136,15,0.031797973380564844
28,GH_P1_c300,blogfeedback,matern52_1.2h0,PPCI,300,0.9266666666666666,-0.014292270396233053,0.014292270396233053,0.04014204004930362,0.14808337232203894,0.5099387837351904,0.4956465133389574,15,0.013685817012571341
28,LO_GH_P1_c300w,blogfeedback,matern52_1.2h0,LO,300,0.9266666666666666,-0.014084197974222163,0.014084197974222163,0.05918980216720743,0.2206184248278376,0.5099387837351904,0.4958545857609683,15,0.02003964325000077
28,PPI_global,blogfeedback,matern52_1.2h0,PPI,300,0.10666666666666667,0.12230152040080788,0.12230152040080788,0.12819926572931395,0.15307616132130716,0.5099387837351904,0.6322403041359983,15,0.018170270503179917
35,GH_P1_c300,blogfeedback,matern52_1.2h0,PPCI,300,0.92,-0.015575068869577637,0.015575068869577637,0.03850778855268675,0.14156947337811882,0.5328305570195165,0.5172554881499388,15,0.017457431218879386
35,LO_GH_P1_c300w,blogfeedback,matern52_1.2h0,LO,300,0.95,-0.014235040180296145,0.014235040180296145,0.05693482747808721,0.21608018778578383,0.5328305570195165,0.5185955168392203,15,0.011952286093343936
35,PPI_global,blogfeedback,matern52_1.2h0,PPI,300,0.25,0.10303771505653375,0.10303771505653375,0.10973635611142576,0.15305252036077133,0.5328305570195165,0.6358682720760503,15,0.03933978962347216
42,GH_P1_c300,blogfeedback,matern52_1.2h0,PPCI,300,0.8833333333333333,-0.020490767794527923,0.020490767794527923,0.0425105582598688,0.14162059335479488,0.49192690351051377,0.4714361357159858,15,0.021081851067789193
42,LO_GH_P1_c300w,blogfeedback,matern52_1.2h0,LO,300,0.89,-0.01861554661491751,0.01861554661491751,0.06327714926378546,0.21391834349011044,0.49192690351051377,0.4733113568955963,15,0.022466906880162757
42,PPI_global,blogfeedback,matern52_1.2h0,PPI,300,0.05333333333333334,0.13994013117713672,0.13994013117713672,0.1455609560698509,0.1533266745649231,0.49192690351051377,0.6318670346876506,15,0.015786270908810265
49,GH_P1_c300,blogfeedback,matern52_1.2h0,PPCI,300,0.8966666666666666,-0.018013873574550796,0.018013873574550796,0.04105823507115766,0.13972630319856438,0.48893055504672356,0.4709166814721728,15,0.016523191974188067
49,LO_GH_P1_c300w,blogfeedback,matern52_1.2h0,LO,300,0.9066666666666666,-0.025576012036509083,0.025576012036509083,0.060450766433504846,0.20908085909107293,0.48893055504672356,0.4633545430102144,15,0.02003964325000077
49,PPI_global,blogfeedback,matern52_1.2h0,PPI,300,0.02,0.14770740767338345,0.14770740767338345,0.15229342047701325,0.15256634362199625,0.48893055504672356,0.636637962720107,15,0.008164965809277261
0,GH_P1_c300,blogfeedback,gaussian_ess_matched,PPCI,300,0.96,0.005139124223827584,0.005139124223827584,0.03558315442997362,0.14110570954336416,0.5137763520305936,0.5189154762544211,15,0.01
0,LO_GH_P1_c300w,blogfeedback,gaussian_ess_matched,LO,300,0.9466666666666667,0.010423910019068325,0.010423910019068325,0.053825122932206676,0.2170875587090326,0.5137763520305936,0.5242002620496619,15,0.0124083944959956
0,PPI_global,blogfeedback,gaussian_ess_matched,PPI,300,0.13666666666666666,0.12251647938185158,0.12251647938185158,0.12886638534616404,0.15377335792662006,0.5137763520305936,0.6362928314124452,15,0.025572803013519142
7,GH_P1_c300,blogfeedback,gaussian_ess_matched,PPCI,300,0.97,0.00037519747058608314,0.00037519747058608314,0.03384208018609906,0.14652722056183284,0.4838773145446893,0.4842525120152754,15,0.008164965809277263
7,LO_GH_P1_c300w,blogfeedback,gaussian_ess_matched,LO,300,0.9433333333333334,0.0034676626387307344,0.0034676626387307344,0.05337220505801684,0.21826792749360563,0.4838773145446893,0.48734497718341996,15,0.009594972228385656
7,PPI_global,blogfeedback,gaussian_ess_matched,PPI,300,0.03333333333333333,0.1446593347036523,0.1446593347036523,0.1492602774111411,0.15326341252802667,0.4838773145446893,0.6285366492483415,15,0.01593638145779192
14,GH_P1_c300,blogfeedback,gaussian_ess_matched,PPCI,300,0.9666666666666667,0.0020808404981613833,0.0020808404981613833,0.03597551311721935,0.14672064185467443,0.4849155220231663,0.4869963625213276,15,0.010540925533894597
14,LO_GH_P1_c300w,blogfeedback,gaussian_ess_matched,LO,300,0.9366666666666666,0.006322195384578014,0.006322195384578014,0.0550410704594691,0.2193551912089447,0.4849155220231663,0.4912377174077443,15,0.015013221686128043
14,PPI_global,blogfeedback,gaussian_ess_matched,PPI,300,0.023333333333333334,0.14958781147952768,0.14958781147952768,0.15406022425176003,0.15241460387502254,0.4849155220231663,0.634503333502694,15,0.00959497222838566
21,GH_P1_c300,blogfeedback,gaussian_ess_matched,PPCI,300,0.95,0.006315320291972143,0.006315320291972143,0.035709296127749084,0.14959219563486795,0.5643555542408866,0.5706708745328587,15,0.014638501094227995
21,LO_GH_P1_c300w,blogfeedback,gaussian_ess_matched,LO,300,0.9633333333333334,0.0035297385722077457,0.0035297385722077457,0.05577846934585989,0.2321284686974462,0.5643555542408866,0.5678852928130943,15,0.011408712905438989
21,PPI_global,blogfeedback,gaussian_ess_matched,PPI,300,0.6766666666666666,0.0623215234949269,0.0623215234949269,0.07181308984535137,0.15212798806407327,0.5643555542408866,0.6266770777358136,15,0.033759184523364
28,GH_P1_c300,blogfeedback,gaussian_ess_matched,PPCI,300,0.9633333333333334,0.006028021148640141,0.006028021148640141,0.03799278122498153,0.14808337232203894,0.4896184921903172,0.4956465133389574,15,0.01140871290543899
28,LO_GH_P1_c300w,blogfeedback,gaussian_ess_matched,LO,300,0.9533333333333334,0.006236093570651027,0.006236093570651027,0.05782695661227543,0.2206184248278376,0.4896184921903172,0.4958545857609683,15,0.012408394495995604
28,PPI_global,blogfeedback,gaussian_ess_matched,PPI,300,0.03666666666666667,0.14262181194568108,0.14262181194568108,0.14771042984114305,0.15307616132130716,0.4896184921903172,0.6322403041359983,15,0.012408394495995602
35,GH_P1_c300,blogfeedback,gaussian_ess_matched,PPCI,300,0.9566666666666667,0.0024759895426711073,0.0024759895426711073,0.035304355724779385,0.14156947337811882,0.5147794986072678,0.5172554881499388,15,0.009594972228385658
35,LO_GH_P1_c300w,blogfeedback,gaussian_ess_matched,LO,300,0.9533333333333334,0.0038160182319525995,0.0038160182319525995,0.05525848537710298,0.21608018778578383,0.5147794986072678,0.5185955168392203,15,0.01031257515605129
35,PPI_global,blogfeedback,gaussian_ess_matched,PPI,300,0.12333333333333334,0.12108877346878252,0.12108877346878252,0.12683764499830613,0.15305252036077133,0.5147794986072678,0.6358682720760503,15,0.028812475252201604
42,GH_P1_c300,blogfeedback,gaussian_ess_matched,PPCI,300,0.9366666666666666,0.0022698158899684823,0.0022698158899684823,0.0373152524168173,0.14162059335479488,0.46916631982601736,0.4714361357159858,15,0.013333333333333332
42,LO_GH_P1_c300w,blogfeedback,gaussian_ess_matched,LO,300,0.92,0.004145037069578897,0.004145037069578897,0.06061881205935499,0.21391834349011044,0.46916631982601736,0.4733113568955963,15,0.010690449676496972
42,PPI_global,blogfeedback,gaussian_ess_matched,PPI,300,0.01,0.16270071486163312,0.16270071486163312,0.16755976317296847,0.1533266745649231,0.46916631982601736,0.6318670346876506,15,0.005345224838248488
49,GH_P1_c300,blogfeedback,gaussian_ess_matched,PPCI,300,0.94,0.005796598218476181,0.005796598218476181,0.03734808665654752,0.13972630319856438,0.4651200832536966,0.4709166814721728,15,0.0148002573980191
49,LO_GH_P1_c300w,blogfeedback,gaussian_ess_matched,LO,300,0.93,-0.0017655402434821044,0.0017655402434821044,0.05480218885279906,0.20908085909107293,0.4651200832536966,0.4633545430102144,15,0.014474937289114911
49,PPI_global,blogfeedback,gaussian_ess_matched,PPI,300,0.0033333333333333335,0.17151787946641042,0.17151787946641042,0.1754827359475893,0.15256634362199625,0.4651200832536966,0.636637962720107,15,0.003333333333333333
