setting,replicate,b,h,estimate,error,analytic_uniform_bias,note
b=2,252,2.0,0.3,-0.07420503668040665,-0.07420503668040665,0.12,Uniform NW fixed-bandwidth sanity check
b=0,253,0.0,0.3,0.35500382379068235,0.35500382379068235,0.12,Uniform NW fixed-bandwidth sanity check
b=2,253,2.0,0.3,0.3643276108444078,0.3643276108444078,0.12,Uniform NW fixed-bandwidth sanity check
b=0,254,0.0,0.3,0.43692533065559136,0.43692533065559136,0.12,Uniform NW fixed-bandwidth sanity check
b=2,254,2.0,0.3,0.4289183406668625,0.4289183406668625,0.12,Uniform NW fixed-bandwidth sanity check
b=0,255,0.0,0.3,-0.12130453410455122,-0.12130453410455122,0.12,Uniform NW fixed-bandwidth sanity check
b=2,255,2.0,0.3,-0.12404566866981678,-0.12404566866981678,0.12,Uniform NW fixed-bandwidth sanity check
b=0,256,0.0,0.3,0.22595027488510172,0.22595027488510172,0.12,Uniform NW fixed-bandwidth sanity check
b=2,256,2.0,0.3,0.22344579110757484,0.22344579110757484,0.12,Uniform NW fixed-bandwidth sanity check
b=0,257,0.0,0.3,0.028261124412183966,0.028261124412183966,0.12,Uniform NW fixed-bandwidth sanity check
b=2,257,2.0,0.3,0.033619585977967145,0.033619585977967145,0.12,Uniform NW fixed-bandwidth sanity check
b=0,258,0.0,0.3,0.05277444437933831,0.05277444437933831,0.12,Uniform NW fixed-bandwidth sanity check
b=2,258,2.0,0.3,0.06336339877948988,0.06336339877948988,0.12,Uniform NW fixed-bandwidth sanity check
b=0,259,0.0,0.3,-0.15547140364841633,-0.15547140364841633,0.12,Uniform NW fixed-bandwidth sanity check
b=2,259,2.0,0.3,-0.16335308439290416,-0.16335308439290416,0.12,Uniform NW fixed-bandwidth sanity check
b=0,260,0.0,0.3,0.009205119329871331,0.009205119329871331,0.12,Uniform NW fixed-bandwidth sanity check
b=2,260,2.0,0.3,0.012799353626810237,0.012799353626810237,0.12,Uniform NW fixed-bandwidth sanity check
b=0,261,0.0,0.3,-0.1676369259970182,-0.1676369259970182,0.12,Uniform NW fixed-bandwidth sanity check
b=2,261,2.0,0.3,-0.17375585995357634,-0.17375585995357634,0.12,Uniform NW fixed-bandwidth sanity check
b=0,262,0.0,0.3,0.2810804116498814,0.2810804116498814,0.12,Uniform NW fixed-bandwidth sanity check
b=2,262,2.0,0.3,0.28061865392266033,0.28061865392266033,0.12,Uniform NW fixed-bandwidth sanity check
b=0,263,0.0,0.3,0.40203566462003365,0.40203566462003365,0.12,Uniform NW fixed-bandwidth sanity check
b=2,263,2.0,0.3,0.4083087113051563,0.4083087113051563,0.12,Uniform NW fixed-bandwidth sanity check
b=0,264,0.0,0.3,0.2014308130768395,0.2014308130768395,0.12,Uniform NW fixed-bandwidth sanity check
b=2,264,2.0,0.3,0.20019089441699112,0.20019089441699112,0.12,Uniform NW fixed-bandwidth sanity check
b=0,265,0.0,0.3,0.2086143139653062,0.2086143139653062,0.12,Uniform NW fixed-bandwidth sanity check
b=2,265,2.0,0.3,0.21674161021601185,0.21674161021601185,0.12,Uniform NW fixed-bandwidth sanity check
b=0,266,0.0,0.3,0.3056945287811558,0.3056945287811558,0.12,Uniform NW fixed-bandwidth sanity check
b=2,266,2.0,0.3,0.30910219307457554,0.30910219307457554,0.12,Uniform NW fixed-bandwidth sanity check
b=0,267,0.0,0.3,0.01647407922967262,0.01647407922967262,0.12,Uniform NW fixed-bandwidth sanity check
b=2,267,2.0,0.3,0.01703835688348262,0.01703835688348262,0.12,Uniform NW fixed-bandwidth sanity check
b=0,268,0.0,0.3,0.14098398044052446,0.14098398044052446,0.12,Uniform NW fixed-bandwidth sanity check
b=2,268,2.0,0.3,0.1610289495763318,0.1610289495763318,0.12,Uniform NW fixed-bandwidth sanity check
b=0,269,0.0,0.3,0.148758232697326,0.148758232697326,0.12,Uniform NW fixed-bandwidth sanity check
b=2,269,2.0,0.3,0.1529006757873784,0.1529006757873784,0.12,Uniform NW fixed-bandwidth sanity check
