b,h,bias_nw,var_lo_nw,var_ppci_nw,se_ppci_nw,bias_to_se,normal_approx_coverage,gain_nw,var_lo_signed_reference,var_ppci_signed_reference,gain_signed_reference
0.0,0.18433792818817307,0.04530729569161074,0.027168641057195467,0.027125879569735115,0.16469936116978448,0.27509090120212776,0.9412865967972384,0.0015739280949065293,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.18868325398447983,0.047468493778895636,0.026547205042470625,0.02650134771194675,0.1627923453727071,0.2915892247280931,0.9402040618372719,0.0017273882674471164,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.1931310104441972,0.04973278292692881,0.025940388274612036,0.025891210968403373,0.16090746088483085,0.30907692317962143,0.9389862617053965,0.0018957814234721315,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.1976836121252429,0.05210508067051131,0.02534787635584117,0.02529513871458921,0.15904445515197696,0.3276133117669625,0.9376161082851839,0.0020805546197091296,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.202343530502963,0.05459053911520469,0.024769363741877395,0.024712808004704247,0.15720307886521895,0.34726125918951584,0.9360743126592123,0.002283293901390371,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.2071132953118241,0.057194556126563816,0.02420455365482209,0.024143903399496548,0.1553830859504874,0.36808740009700147,0.9343390934389013,0.0025057373992706244,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.21199549591873265,0.05992278705310586,0.023653158006503482,0.023588116798397726,0.15358423356060258,0.3901623601843285,0.9323858453926112,0.0027497896089762053,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.21699278272872743,0.06278115700847561,0.02311489733265336,0.023045147275886902,0.15180628206990282,0.4135609946600664,0.9301867631134318,0.0030175369486900028,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.22210786862380705,0.06577587373948045,0.02258950073832269,0.02251470092201219,0.15004899507165048,0.4383626408698809,0.9277104139641766,0.0033112646966828585,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.22734353043567535,0.06891344110794245,0.02207670585498112,0.02199649068700185,0.14831213937841317,0.46465138589978966,0.924921254099583,0.0036334754154986326,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.2327026104532025,0.07220067321564655,0.02157625880978626,0.02149023622990141,0.1465954850256358,0.4925163500296104,0.9217790810690178,0.003986908974499048,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.23818801796542113,0.07564470920306104,0.02108791420755203,0.02099566377117623,0.14489880527863655,0.522051986954608,0.9182384164584858,0.004374564286816041,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.2438027308408951,0.0792530287539706,0.02061143512599164,0.020512505949222975,0.1432218766432802,0.5533584017430835,0.9142478124014494,0.004799722880233337,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.24954979714431763,0.08303346833969344,0.020146593124860637,0.020040501680737195,0.14156447888060478,0.5865416875494855,0.9097490768075979,0.005265974423860564,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.2554323367912175,0.08699423823816264,0.019693168269678173,0.019579396024888177,0.13992639502569976,0.621714282156592,0.9046764141561924,0.0057772443332630985,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.2614535432416707,0.09114394036483221,0.01925094917076156,0.01912894005125619,0.13830741141116115,0.6589953454763094,0.8989554821309536,0.006337823575508605,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.26761668523393667,0.09549158695413325,0.018819733038369597,0.018688890711491424,0.13670731769547462,0.6985111591966688,0.8925023698543713,0.006952400791839675,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.2739251085589621,0.10004662013205225,0.018399325754814934,0.01825901071465811,0.13512590689670914,0.7403955498224951,0.8852225118331492,0.007626096848690533,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.2803822378767134,0.10481893242233853,0.01798954196447531,0.017839068406231864,0.1335629754319357,0.7847903364189032,0.8770095640231051,0.008364501916757638,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.2869915785753253,0.10981888823087615,0.017590205182707392,0.017428837650722666,0.13201832316281958,0.831845804430006,0.8677442860151592,0.009173715161854057,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.29375671867407455,0.11505734635487917,0.017201147924746526,0.0170280977179008,0.13049175344787425,0.881721207009756,0.8572934978875405,0.010060387109209534,0.02439285714285714,0.011775714285714285,0.5172474377745242
