A,b,h,method,family,repetitions,coverage,bias,absolute_bias,rmse,empirical_sd,mean_estimated_se,sd_over_mean_se,mean_width,fallback_rate,selected_lambda_mean,negative_weight_fraction,normalized_linear_imbalance,normalized_quadratic_imbalance,effective_sample_size
2.0,2.0,0.2,NW_FIXED_H_LO,NW,500,0.894,0.09034149389990967,0.12089307409714554,0.14924610861509366,0.11891634711806753,0.12038519803250475,0.9877987415525901,0.47190130483086296,,,0.0,0.0026161968488924016,0.04756331123781401,1816.9184273419298
2.0,2.0,0.2,NW_FIXED_H_PPCI,NW,500,0.898,0.09004673915283123,0.11783229031751455,0.1453377792876151,0.11419604340280444,0.11635082731828783,0.9814802871182962,0.4560868622305663,,,0.0,0.0026161968488924016,0.04756331123781401,1816.9184273419298
2.0,2.0,0.2,RKHS_LOCALIZATION_FIXED_H_LO,RKHS_LOCALIZATION,500,0.922,-0.00429820377247344,0.2147794155437154,0.2775580013540072,0.2778026605278539,0.26573753521633514,1.0454024129549355,1.0416719967289223,0.0,0.0006175207796467599,0.4868292,0.0002460727875845004,0.00012736907767938244,329.95555366860197
2.0,2.0,0.2,RKHS_LOCALIZATION_FIXED_H_PPCI,RKHS_LOCALIZATION,500,0.968,0.0016994307606591087,0.2042075159820509,0.2601612384086316,0.26041623439346845,0.2656726639979041,0.9802146388516767,1.0414177062254064,0.0,0.0006175207796467599,0.4868292,0.0002460727875845004,0.00012736907767938244,329.95555366860197
2.0,2.0,0.4,NW_FIXED_H_LO,NW,500,0.17,0.29272097212083054,0.29324437685032173,0.30930105320991763,0.10000788544761678,0.09973994638728109,1.0026863766228158,0.3909734054780537,,,0.0,0.003679130193112084,0.1477053743685404,3415.1933173708044
2.0,2.0,0.4,NW_FIXED_H_PPCI,NW,500,0.084,0.2927551650431708,0.2927551650431708,0.3054660725059021,0.08728787509731736,0.0859925159242313,1.0150636268652429,0.3370844683029609,,,0.0,0.003679130193112084,0.1477053743685404,3415.1933173708044
2.0,2.0,0.4,RKHS_LOCALIZATION_FIXED_H_LO,RKHS_LOCALIZATION,500,0.938,-0.007870730608603573,0.1628535221796984,0.20373771893458656,0.20378952391246294,0.20420216455433468,0.9979792543199906,0.8004577761832352,0.0,0.0006477148615292768,0.4478836,0.00024200740972724405,0.00025883686957196985,581.0579096041389
2.0,2.0,0.4,RKHS_LOCALIZATION_FIXED_H_PPCI,RKHS_LOCALIZATION,500,0.952,-0.005304356068174244,0.15584983910057276,0.19608459133076547,0.1962091405049487,0.20282361230544688,0.9673880583956026,0.7950539506659817,0.0,0.0006477148615292768,0.4478836,0.00024200740972724405,0.00025883686957196985,581.0579096041389
2.0,2.0,0.6,NW_FIXED_H_LO,NW,500,0.006,0.42962649820264864,0.42962649820264864,0.441378411703159,0.10127431724974367,0.10014570522958735,1.0112696996598,0.39256395091271146,,,0.0,0.004582395667225475,0.21662304150822637,4296.455882295873
2.0,2.0,0.6,NW_FIXED_H_PPCI,NW,500,0.0,0.4310232293838832,0.4310232293838832,0.43824483677914217,0.07931010579255948,0.07734521662632143,1.0254041458792602,0.3031876779280771,,,0.0,0.004582395667225475,0.21662304150822637,4296.455882295873
2.0,2.0,0.6,RKHS_LOCALIZATION_FIXED_H_LO,RKHS_LOCALIZATION,500,0.94,-0.01072275091641239,0.13905506179562704,0.17476288533878248,0.17460831834248272,0.17614390485828132,0.9912822046437878,0.6904714192369624,0.0,0.0006610942315475772,0.4181516,0.00021314678862818147,0.00045884203658660917,810.1002330742261
2.0,2.0,0.6,RKHS_LOCALIZATION_FIXED_H_PPCI,RKHS_LOCALIZATION,500,0.946,-0.007840806423758676,0.1327996039616566,0.16770597161082018,0.16769035386124803,0.17296120794049305,0.9695258021032181,0.6779954765718191,0.0,0.0006610942315475772,0.4181516,0.00021314678862818147,0.00045884203658660917,810.1002330742261
4.0,0.0,0.08,NW_FIXED_H_LO,NW,500,0.936,0.024948030204053225,0.140790879104731,0.1775053086785392,0.17591937258102,0.17852485717441663,0.9854054800287497,0.6998045808140273,,,0.0,0.001611473152200443,0.007689868297649444,726.672313317538
4.0,0.0,0.08,NW_FIXED_H_PPCI,NW,500,0.956,0.025997904623092823,0.13906997381407818,0.17660255496993688,0.17485342094093453,0.18080710305388112,0.9670716359457827,0.7087508202692581,,,0.0,0.001611473152200443,0.007689868297649444,726.672313317538
