dataset,x0_index,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0
blogfeedback,13,gaussian_ess_matched,gaussian,11.705870018024921,0.9782344645451797,11687.474706223846,0.46427597200933207
blogfeedback,14,matern52_0.8h0,matern52,9.628047270878788,0.8000000000000002,10718.513512238218,0.468140013758773
blogfeedback,14,matern52_h0,matern52,12.035059088598484,1.0,11798.172643068023,0.4884906334899638
blogfeedback,14,matern52_1.2h0,matern52,14.442070906318179,1.2,12504.9766908971,0.5057918261339202
blogfeedback,14,gaussian_ess_matched,gaussian,11.825454317384256,0.9825838186857929,11798.172643068023,0.4849155220231663
blogfeedback,15,matern52_0.8h0,matern52,18.53643075351029,0.8,13652.212778374627,0.5365550956979145
blogfeedback,15,matern52_h0,matern52,23.170538441887864,1.0,13929.048249370362,0.5546828769992594
blogfeedback,15,matern52_1.2h0,matern52,27.804646130265436,1.2,14100.575137137324,0.5682855290234152
blogfeedback,15,gaussian_ess_matched,gaussian,23.496347690442487,1.014061358538204,13929.048249370366,0.5549357116312412
blogfeedback,16,matern52_0.8h0,matern52,9.343260048959513,0.8,10679.98727175237,0.44424257059865246
blogfeedback,16,matern52_h0,matern52,11.67907506119939,1.0,11725.211649517043,0.4690854498764978
blogfeedback,16,matern52_1.2h0,matern52,14.014890073439267,1.2,12425.036279374423,0.4893445971943555
blogfeedback,16,gaussian_ess_matched,gaussian,11.518353601997543,0.9862385113239146,11725.211649517043,0.4668888843115023
blogfeedback,17,matern52_0.8h0,matern52,9.502086378493683,0.8,10702.352872281395,0.4337088663895002
blogfeedback,17,matern52_h0,matern52,11.877607973117103,1.0,11758.183200602856,0.46187087954775885
blogfeedback,17,matern52_1.2h0,matern52,14.253129567740523,1.2,12459.035383697803,0.48413521189811287
blogfeedback,17,gaussian_ess_matched,gaussian,11.693667508688067,0.9845136777669921,11758.183200602856,0.4602723716707461
blogfeedback,18,matern52_0.8h0,matern52,13.280549108381772,0.8,12989.02906778159,0.5111292413866828
blogfeedback,18,matern52_h0,matern52,16.600686385477214,1.0,13420.56333087841,0.5299412660223733
blogfeedback,18,matern52_1.2h0,matern52,19.920823662572655,1.2,13705.977379303291,0.54501143887603
blogfeedback,18,gaussian_ess_matched,gaussian,16.99636494052351,1.0238350719878937,13420.563330878416,0.5294517915755375
blogfeedback,19,matern52_0.8h0,matern52,10.224000938743055,0.8,11147.249820925825,0.4662577059103155
blogfeedback,19,matern52_h0,matern52,12.780001173428818,1.0,12115.33015546147,0.4888857102246811
blogfeedback,19,matern52_1.2h0,matern52,15.336001408114582,1.2,12747.572464148498,0.5075387020563195
blogfeedback,19,gaussian_ess_matched,gaussian,12.635817561942357,0.9887180283061134,12115.330155461472,0.4860988138781578
blogfeedback,20,matern52_0.8h0,matern52,11.972416132831212,0.8,12715.933014876955,0.5265374825134961
blogfeedback,20,matern52_h0,matern52,14.965520166039013,1.0,13220.453052081386,0.5407642960679032
blogfeedback,20,matern52_1.2h0,matern52,17.958624199246817,1.2,13554.675209463147,0.5529547131910297
blogfeedback,20,gaussian_ess_matched,gaussian,15.294781894105808,1.022001355409883,13220.453052081386,0.538947333621566
blogfeedback,21,matern52_0.8h0,matern52,16.096265257966056,0.8,13428.709816362343,0.551405158058703
blogfeedback,21,matern52_h0,matern52,20.12033157245757,1.0,13774.255990066358,0.5652206529216839
blogfeedback,21,matern52_1.2h0,matern52,24.144397886949083,1.2,13988.597460071418,0.5761162098374163
blogfeedback,21,gaussian_ess_matched,gaussian,20.37594551212037,1.012704260799196,13774.255990066358,0.5643555542408866
blogfeedback,22,matern52_0.8h0,matern52,10.50257328481331,0.8,12036.649380606827,0.4781418240879662
blogfeedback,22,matern52_h0,matern52,13.128216606016638,1.0,12699.76295115132,0.4997934639429799
blogfeedback,22,matern52_1.2h0,matern52,15.753859927219965,1.2,13146.02600727913,0.5172338991210905
blogfeedback,22,gaussian_ess_matched,gaussian,13.339946608417819,1.016127857176286,12699.762951151324,0.4991627215168481
blogfeedback,23,matern52_0.8h0,matern52,10.87674948263668,0.8,12168.342334656398,0.4751251844024017
blogfeedback,23,matern52_h0,matern52,13.595936853295848,1.0,12805.567064801593,0.49772419379066296
blogfeedback,23,matern52_1.2h0,matern52,16.315124223955017,1.2,13230.00012086021,0.5157867034989658
blogfeedback,23,gaussian_ess_matched,gaussian,13.809776111470141,1.0157281738273487,12805.567064801593,0.49715413659384705
blogfeedback,24,matern52_0.8h0,matern52,17.140625923796225,0.8,13583.93000696132,0.5336564892894093
blogfeedback,24,matern52_h0,matern52,21.42578240474528,1.0,13870.581098665083,0.5515687784603773
blogfeedback,24,matern52_1.2h0,matern52,25.710938885694336,1.2,14052.39933756004,0.5652190845368058
blogfeedback,24,gaussian_ess_matched,gaussian,21.825533576825414,1.0186574830514286,13870.581098665085,0.551807018592212
blogfeedback,25,matern52_0.8h0,matern52,11.523874604702968,0.8,12461.621982910263,0.48902140269121164
blogfeedback,25,matern52_h0,matern52,14.40484325587871,1.0,13023.080849817934,0.5098905198501443
blogfeedback,25,matern52_1.2h0,matern52,17.285811907054452,1.2,13397.599680518613,0.526665070683023
blogfeedback,25,gaussian_ess_matched,gaussian,14.690773630431476,1.0198495998514996,13023.080849817936,0.5093063584101561
blogfeedback,26,matern52_0.8h0,matern52,14.550249301326915,0.8,13230.877731553193,0.5146053180943589
blogfeedback,26,matern52_h0,matern52,18.187811626658643,1.0,13608.553953234363,0.5342343046372842
blogfeedback,26,matern52_1.2h0,matern52,21.825373951990372,1.2,13852.314590329284,0.5495402509698705
blogfeedback,26,gaussian_ess_matched,gaussian,18.542090963219394,1.0194789424826387,13608.553953234365,0.5341122138784037
blogfeedback,27,matern52_0.8h0,matern52,9.429146532780143,0.8,10601.08048890033,0.44566822667391864
blogfeedback,27,matern52_h0,matern52,11.786433165975177,1.0,11687.65707647462,0.47064747312411026
blogfeedback,27,matern52_1.2h0,matern52,14.143719799170212,1.2,12409.884093328046,0.490994673826734
blogfeedback,27,gaussian_ess_matched,gaussian,11.570382706193252,0.9816695639181483,11687.65707647462,0.46811788925674397
blogfeedback,28,matern52_0.8h0,matern52,9.834772527005585,0.8,10879.469280103915,0.47417491314856014
blogfeedback,28,matern52_h0,matern52,12.29346565875698,1.0,11915.304650790038,0.49335906724558903
blogfeedback,28,matern52_1.2h0,matern52,14.752158790508377,1.2,12593.401803036219,0.5099387837351904
blogfeedback,28,gaussian_ess_matched,gaussian,12.119703243732031,0.9858654654555306,11915.304650790038,0.4896184921903172
blogfeedback,29,matern52_0.8h0,matern52,17.046331617643375,0.8,13546.978294416831,0.5306050741366064
blogfeedback,29,matern52_h0,matern52,21.30791452205422,1.0,13846.354616144099,0.5490714179159469
blogfeedback,29,matern52_1.2h0,matern52,25.569497426465063,1.2,14035.613149827972,0.5631324986494228
blogfeedback,29,gaussian_ess_matched,gaussian,21.686615805021688,1.0177727990496443,13846.354616144105,0.549274524276586
blogfeedback,30,matern52_0.8h0,matern52,13.404077672966807,0.8,12929.809453687552,0.5034793063598497
blogfeedback,30,matern52_h0,matern52,16.75509709120851,1.0,13386.556380551207,0.523880464732688
