sex,age,method,dataset,reference,method_family,n_reps,coverage,bias,abs_bias,rmse,width,theta0,theta_hat_mean,n_unlab_clusters,coverage_cluster_se
2,80,LO_GH_P1_c15w,income,matern52_0.8h0,LO,300,0.9466666666666667,0.06885526009895375,0.06885526009895375,0.4595080852841337,1.7115885182573018,4.141012257759843,4.209867517858797,15,0.009085135251589957
2,80,PPI_global,income,matern52_0.8h0,PPI,300,0.25,-0.7865099945600507,0.7865099945600507,0.8330290974033862,1.068767272844156,4.141012257759843,3.354502263199792,15,0.036839419880650356
2,90,GH_P1_c15,income,matern52_0.8h0,PPCI,300,0.9733333333333334,0.1837431961466322,0.1837431961466322,0.4156163399741061,1.53508543070223,4.036738055635826,4.220481251782459,15,0.008261595987094037
2,90,LO_GH_P1_c15w,income,matern52_0.8h0,LO,300,0.9633333333333334,0.16071347061805774,0.16071347061805774,0.4496538489688006,1.7130797980591077,4.036738055635826,4.197451526253884,15,0.007663560447348136
2,90,PPI_global,income,matern52_0.8h0,PPI,300,0.3333333333333333,-0.6644424041040607,0.6644424041040607,0.7120635927018442,1.0770456806627597,4.036738055635826,3.3722956515317652,15,0.02657723097595395
2,100,GH_P1_c15,income,matern52_0.8h0,PPCI,300,0.9533333333333334,0.22461259492502195,0.22461259492502195,0.46438273087930815,1.5341711041638573,3.9598460176532657,4.184458612578287,15,0.01140871290543899
2,100,LO_GH_P1_c15w,income,matern52_0.8h0,LO,300,0.9266666666666666,0.23008869654978123,0.23008869654978123,0.5192761032410368,1.7146902330241465,3.9598460176532657,4.189934714203047,15,0.016808916756878844
2,100,PPI_global,income,matern52_0.8h0,PPI,300,0.4033333333333333,-0.5974293700213222,0.5974293700213222,0.6586556129959847,1.0761283018475454,3.9598460176532657,3.3624166476319433,15,0.02462415899780552
1,70,GH_P1_c22,income,matern52_h0,PPCI,300,0.9633333333333334,0.04738927456727862,0.04738927456727862,0.572067238705956,2.3495554427586653,6.886993353152678,6.934382627719957,15,0.01031257515605129
1,70,LO_GH_P1_c22w,income,matern52_h0,LO,300,0.9433333333333334,0.07725248797375468,0.07725248797375468,0.6661179139259142,2.6653805401537576,6.886993353152678,6.9642458411264325,15,0.014529663145135579
1,70,PPI_global,income,matern52_h0,PPI,300,0.07666666666666666,-1.577245219597933,1.577245219597933,1.6244818292831509,1.625560239635777,6.886993353152678,5.309748133554745,15,0.015327120894696268
1,80,GH_P1_c22,income,matern52_h0,PPCI,300,0.9533333333333334,0.16719406179427912,0.16719406179427912,0.6036017127577902,2.302265452112404,6.599831460900203,6.767025522694483,15,0.012408394495995604
1,80,LO_GH_P1_c22w,income,matern52_h0,LO,300,0.93,0.1650862865910123,0.1650862865910123,0.6952058642606033,2.6174832569424233,6.599831460900203,6.764917747491216,15,0.015275252316519465
1,80,PPI_global,income,matern52_h0,PPI,300,0.18,-1.3336315503275482,1.3336315503275482,1.3948990414497942,1.6289184781141366,6.599831460900203,5.266199910572655,15,0.018771812708978115
1,90,GH_P1_c22,income,matern52_h0,PPCI,300,0.9333333333333333,0.2595738523347614,0.2595738523347614,0.6588295510963692,2.239141895519287,6.399565768644427,6.659139620979189,15,0.014364860122855573
1,90,LO_GH_P1_c22w,income,matern52_h0,LO,300,0.94,0.23207185720006795,0.23207185720006795,0.7260026713686479,2.54715692613532,6.399565768644427,6.631637625844495,15,0.008728715609439691
1,90,PPI_global,income,matern52_h0,PPI,300,0.32,-1.098598914534747,1.098598914534747,1.1814472245531504,1.6279362804707516,6.399565768644427,5.300966854109681,15,0.030394235042348478
1,100,GH_P1_c22,income,matern52_h0,PPCI,300,0.93,0.43084081175666245,0.43084081175666245,0.7267893232901059,2.23908034082387,6.25121004157201,6.682050853328673,15,0.012724180205607028
1,100,LO_GH_P1_c22w,income,matern52_h0,LO,300,0.94,0.41499973884614416,0.41499973884614416,0.7630494702838921,2.537797962792325,6.25121004157201,6.666209780418154,15,0.017728105208558362
1,100,PPI_global,income,matern52_h0,PPI,300,0.38,-0.9394378169839247,0.9394378169839247,1.026950321483576,1.6184363812278608,6.25121004157201,5.311772224588085,15,0.027945525240230876
2,70,GH_P1_c15,income,matern52_h0,PPCI,300,0.9233333333333333,0.05002766903009458,0.05002766903009458,0.38878470294625356,1.5064926832497818,4.200841915640371,4.2508695846704665,15,0.015327120894696265
2,70,LO_GH_P1_c15w,income,matern52_h0,LO,300,0.93,0.04806526824095459,0.04806526824095459,0.4346175986127682,1.697009588406035,4.200841915640371,4.248907183881326,15,0.014474937289114918
2,70,PPI_global,income,matern52_h0,PPI,300,0.18,-0.8620630686636319,0.8620630686636319,0.899203956369129,1.0609694273278414,4.200841915640371,3.3387788469767394,15,0.027516228977511745
2,80,GH_P1_c15,income,matern52_h0,PPCI,300,0.9633333333333334,0.18909922508055427,0.18909922508055427,0.44351673933614544,1.5344689611479403,4.034632708558937,4.223731933639491,15,0.00908513525158996
2,80,LO_GH_P1_c15w,income,matern52_h0,LO,300,0.9533333333333334,0.17523480929985938,0.17523480929985938,0.4869433971095144,1.7115885182573018,4.034632708558937,4.209867517858797,15,0.007663560447348132
