sex,age,method,n_reps,n_unlab_clusters,coverage,coverage_cluster_se,coverage_cluster_sd,bias,abs_bias,rmse,se_mean,width,emp_sd,theta0_mean,theta_hat_mean,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,lambda_factor_mean,h_factor_mean,k_target_mean,R_MB_mean,R_GH_mean,bias_score_mean,bias_budget_mean,gh_gamma_eff_mean,edge_score_mean,pc_ratio_mean,fallback_rate,width_ratio_vs_GH_P1_c22,rmse_ratio_vs_GH_P1_c22,width_ratio_vs_GH_P1_c15,rmse_ratio_vs_GH_P1_c15,theta0,dataset,reference,method_family,bias_rescored,rmse_rescored
1,74,LO_GH_P1_c22w,1000,50,0.945,0.0064285714285714,0.0454568645048494,0.1176236755663472,0.1176236755663472,0.6881655185230985,0.6730883790446694,2.638506445855104,0.6783779540041869,6.758177456728083,6.875801132294432,34.629538297289635,,,,,4492.59,24.548484435450696,18.428855132858,18.428855132858,22.0,0.3821157885682916,0.7836682222672868,18.61924114489348,,1.13800972278521,1.1311804519364597,,,7.056532194295672,income,matern52_0.8h0,LO,-0.18073106200123945,0.7017123118504646
1,74,PPI_global,1000,50,0.11,0.0108796758655198,0.0769309258162072,-1.48699997349562,1.48699997349562,1.5438216539520406,0.4106705773330557,1.6098286631455785,0.4151972625175205,6.758177456728083,5.2711774832324645,,,,,,,,,,,,,,,0.6943324597731875,2.5376756452061984,,,7.056532194295672,income,matern52_0.8h0,PPI,-1.7853547110632073,1.8329505782619533
1,75,GH_P1_c22,1000,50,0.952,0.0068452277432633,0.0484030695602783,0.1855888969958058,0.1855888969958058,0.6315980532536928,0.6066751859953579,2.3781667291018027,0.6040179632143569,6.729184392914373,6.914773289910178,35.93981726634309,28.171909037603083,4.534238806668473,316.227766016838,1.3999999999999997,4507.67,25.901790881570328,18.56411129158681,18.56411129158681,22.0,0.3821157885682916,0.7936859083904408,18.293619887314133,0.0,1.0,1.0,,,7.026742441111072,income,matern52_0.8h0,PPCI,-0.11196915120089379,0.6140113622779168
1,75,LO_GH_P1_c22w,1000,50,0.951,0.0064665544558607,0.045725445066512,0.1955621323023977,0.1955621323023977,0.7107211490646764,0.6870637992572195,2.6932900930883004,0.6836280797982498,6.729184392914373,6.9247465252167695,35.92563085039373,,,,,4507.67,25.901790881570328,18.56411129158681,18.56411129158681,22.0,0.3821157885682916,0.7936859083904408,18.293619887314133,,1.1325068424052485,1.1252744453586885,,,7.026742441111072,income,matern52_0.8h0,LO,-0.10199591589430224,0.6908568382785765
1,75,PPI_global,1000,50,0.136,0.0122090632109837,0.0863311138842178,-1.4274471712135968,1.4274471712135968,1.4884171713939829,0.4191516254612167,1.64307437180797,0.4218509306644566,6.729184392914373,5.301737221700775,,,,,,,,,,,,,,,0.6908995705395871,2.3565892322282584,,,7.026742441111072,income,matern52_0.8h0,PPI,-1.7250052194102965,1.7757880663208465
1,76,GH_P1_c22,1000,50,0.953,0.0072011903777877,0.0509201054874903,0.1745149597634336,0.1745149597634336,0.622525186401944,0.589213316481093,2.309716200605884,0.5978625060159249,6.7013169697097785,6.87583192947321,33.91593717140534,26.401859628335863,4.499409404004067,316.227766016838,1.3999999999999997,4521.85,27.30019318660746,18.77790238866892,18.77790238866892,22.0,0.3821157885682916,0.8043044701056532,17.81018715823422,0.0,1.0,1.0,,,6.998068586540379,income,matern52_0.8h0,PPCI,-0.12223665706716869,0.6099376499729287
1,76,LO_GH_P1_c22w,1000,50,0.958,0.0054135129489989,0.0382793171627836,0.1677886640146257,0.1677886640146257,0.7022455571180114,0.670631906585004,2.628877073813216,0.6822472044414263,6.7013169697097785,6.869105633724402,33.90644150655756,,,,,4521.85,27.30019318660746,18.77790238866892,18.77790238866892,22.0,0.3821157885682916,0.8043044701056532,17.81018715823422,,1.1381818567682078,1.128059671250947,,,6.998068586540379,income,matern52_0.8h0,LO,-0.1289629528159768,0.6939936814692113
1,76,PPI_global,1000,50,0.144,0.0104627619563431,0.0739828992927088,-1.407309901635644,1.407309901635644,1.4683448980484988,0.410909948358538,1.610766997565469,0.4191554266080598,6.7013169697097785,5.294007068074132,,,,,,,,,,,,,,,0.6973874093894882,2.358691551959854,,,6.998068586540379,income,matern52_0.8h0,PPI,-1.704061518466247,1.7548051855122897
1,77,GH_P1_c22,1000,50,0.946,0.0068273160830562,0.0482764149963308,0.1661638581775255,0.1661638581775255,0.6378510406085365,0.5937325929006406,2.327431764170512,0.6161356550195244,6.674507573728135,6.840671431905657,34.05746648161473,26.624488160981688,4.397341569825854,316.227766016838,1.3999999999999997,4535.38,28.77262142232936,18.95174430729865,18.95174430729865,22.0,0.3821157885682916,0.813075614424055,17.500970445358863,0.0,1.0,1.0,,,6.970437755652658,income,matern52_0.8h0,PPCI,-0.1297663237470008,0.6293511110816945
1,77,LO_GH_P1_c22w,1000,50,0.949,0.006774803257931,0.0479050932488777,0.1604602968441027,0.1604602968441027,0.7126253502704106,0.6737180087571993,2.640974594328221,0.6946725508739103,6.674507573728135,6.834967870572235,34.0485253206531,,,,,4535.38,28.77262142232936,18.95174430729865,18.95174430729865,22.0,0.3821157885682916,0.813075614424055,17.500970445358863,,1.1347162288426766,1.117228482672908,,,6.970437755652658,income,matern52_0.8h0,LO,-0.1354698850804228,0.7074174670931096
1,77,PPI_global,1000,50,0.15,0.010202040612204,0.0721393209883005,-1.4014002985712222,1.4014002985712222,1.4638808849851774,0.4126084869280246,1.6174252687578563,0.4233245235534051,6.674507573728135,5.27310727515691,,,,,,,,,,,,,,,0.6949399306382248,2.2950199839582828,,,6.970437755652658,income,matern52_0.8h0,PPI,-1.697330480495748,1.7492727656398825
1,78,GH_P1_c22,1000,50,0.952,0.0075538880379441,0.0534140545595426,0.1709895187876962,0.1709895187876962,0.6305090601676414,0.5904294050241095,2.3144832676945084,0.6071844302603494,6.64869416044111,6.81968367922881,33.56441626392427,26.336400691522787,4.3731988192030045,316.227766016838,1.3999999999999997,4552.53,30.37242138747307,19.166317847396755,19.166317847396755,22.0,0.3821157885682916,0.8227082114727398,17.01603358591637,0.0,1.0,1.0,,,6.9437833741243,income,matern52_0.8h0,PPCI,-0.12409969489549066,0.6194392574670969
