dataset,sex,age,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0
income,2,85,matern52_0.8h0,matern52,1.457207620029389,0.8,134840.85482741782,4.084140944430607
income,2,85,matern52_h0,matern52,1.8215095250367361,1.0,154909.12972316387,3.9754790861617724
income,2,85,matern52_1.2h0,matern52,2.185811430044083,1.2,167845.0368037897,3.87228977101182
income,2,85,gaussian_ess_matched,gaussian,1.7404782031674044,0.955514192621256,154909.12972316393,4.031413123524753
income,2,86,matern52_0.8h0,matern52,1.4910961693323979,0.8,135738.7020793155,4.074017625807611
income,2,86,matern52_h0,matern52,1.8638702116654973,1.0,155754.07285228997,3.9649329281602483
income,2,86,matern52_1.2h0,matern52,2.2366442539985965,1.2,168526.455952001,3.8623854468860697
income,2,86,gaussian_ess_matched,gaussian,1.779669245344838,0.9548246622572395,155754.07285229003,4.01999403452528
income,2,87,matern52_0.8h0,matern52,1.524984718635407,0.8,136638.92694273381,4.064239589837373
income,2,87,matern52_h0,matern52,1.9062308982942586,1.0,156583.45274000432,3.9547543994303616
income,2,87,matern52_1.2h0,matern52,2.28747707795311,1.2,169186.6311388816,3.8528518575377544
income,2,87,gaussian_ess_matched,gaussian,1.8189212988058616,0.9541977839271603,156583.45274000437,4.00890863443679
income,2,88,matern52_0.8h0,matern52,1.558873267938416,0.8,137540.40567309316,4.0547817349590805
income,2,88,matern52_h0,matern52,1.94859158492302,1.0,157397.05077305457,3.9449218867425624
