dataset,sex,age,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0,theta0_baseline,shift,abs_shift
income,1,88,gaussian_ess_matched,gaussian,2.0287785628456545,0.9478515246134299,157083.84421544077,6.504943187224992,6.434685174491138,0.0702580127338539,0.0702580127338539
income,1,89,matern52_0.8h0,matern52,1.7472628598278925,0.8,139152.72803077925,6.700639606658009,6.416860337458489,0.28377926919951957,0.28377926919951957
income,1,89,matern52_h0,matern52,2.1840785747848654,1.0,157784.43640618422,6.416860337458489,6.416860337458489,0.0,0.0
income,1,89,matern52_1.2h0,matern52,2.6208942897418384,1.2,168829.74064519783,6.193774817047353,6.416860337458489,-0.2230855204111366,0.2230855204111366
income,1,89,gaussian_ess_matched,gaussian,2.069479027516257,0.9475295675752432,157784.43640618422,6.4858283162544375,6.416860337458489,0.06896797879594807,0.06896797879594807
income,1,90,matern52_0.8h0,matern52,1.7822081170244504,0.8,140008.73356508883,6.682100285045718,6.399565768644427,0.2825345164012907,0.2825345164012907
income,1,90,matern52_h0,matern52,2.2277601462805627,1.0,158469.0921648563,6.399565768644427,6.399565768644427,0.0,0.0
income,1,90,matern52_1.2h0,matern52,2.673312175536675,1.2,169327.6436215708,6.178683117308365,6.399565768644427,-0.220882651336062,0.220882651336062
income,1,90,gaussian_ess_matched,gaussian,2.1102370981966714,0.9472460945671795,158469.09216485632,6.467226432266385,6.399565768644427,0.06766066362195744,0.06766066362195744
income,1,91,matern52_0.8h0,matern52,1.8171533742210082,0.8,140857.91328038758,6.664032355150796,6.3827777168034565,0.2812546383473391,0.2812546383473391
income,1,91,matern52_h0,matern52,2.27144171777626,1.0,159137.80365666075,6.3827777168034565,6.3827777168034565,0.0,0.0
income,1,91,matern52_1.2h0,matern52,2.725730061331512,1.2,169809.4176137077,6.1640745642294705,6.3827777168034565,-0.21870315257398598,0.21870315257398598
income,1,91,gaussian_ess_matched,gaussian,2.1510502498805417,0.9469977737251469,159137.80365666075,6.44911995291259,6.3827777168034565,0.0663422361091337,0.0663422361091337
income,1,92,matern52_0.8h0,matern52,1.852098631417566,0.8,141699.30424920164,6.646414814952517,6.366473916996396,0.27994089795612087,0.27994089795612087
income,1,92,matern52_h0,matern52,2.3151232892719573,1.0,159790.60335017616,6.366473916996396,6.366473916996396,0.0,0.0
income,1,92,matern52_1.2h0,matern52,2.7781479471263486,1.2,170275.5410877541,6.149926607001687,6.366473916996396,-0.21654730999470928,0.21654730999470928
income,1,92,gaussian_ess_matched,gaussian,2.191915881772646,0.9467814919100672,159790.60335017616,6.431492164374083,6.366473916996396,0.06501824737768658,0.06501824737768658
income,1,93,matern52_0.8h0,matern52,1.8870438886141239,0.8,142532.02174124992,6.62922822136733,6.350633471838761,0.278594749528569,0.278594749528569
income,1,93,matern52_h0,matern52,2.3588048607676546,1.0,160427.56232166014,6.350633471838761,6.350633471838761,0.0,0.0
income,1,93,matern52_1.2h0,matern52,2.8305658329211854,1.2,170726.48862668165,6.136218083690469,6.350633471838761,-0.21441538814829197,0.21441538814829197
income,1,93,gaussian_ess_matched,gaussian,2.232831359874881,0.946594352509611,160427.56232166017,6.414327124773768,6.350633471838761,0.06369365293500717,0.06369365293500717
income,1,94,matern52_0.8h0,matern52,1.9219891458106817,0.8,143355.26123135997,6.61245454300112,6.335236742370897,0.27721780063022283,0.27721780063022283
income,1,94,matern52_h0,matern52,2.402486432263352,1.0,161048.7877864762,6.335236742370897,6.335236742370897,0.0,0.0
income,1,94,matern52_1.2h0,matern52,2.882983718716022,1.2,171162.7301263132,6.122929114828953,6.335236742370897,-0.21230762754194465,0.21230762754194465
income,1,94,gaussian_ess_matched,gaussian,2.2737940478600414,0.9464336686047083,161048.78778647626,6.397609588115548,6.335236742370897,0.06237284574465107,0.06237284574465107
income,1,95,matern52_0.8h0,matern52,1.9569344030072395,0.8,144168.2981358818,6.596077022146399,6.320265248160407,0.27581177398599177,0.27581177398599177
income,1,95,matern52_h0,matern52,2.446168003759049,1.0,161654.42012881328,6.320265248160407,6.320265248160407,0.0,0.0
income,1,95,matern52_1.2h0,matern52,2.935401604510859,1.2,171584.72988672843,6.110041006379178,6.320265248160407,-0.210224241781229,0.210224241781229
income,1,95,gaussian_ess_matched,gaussian,2.314801328138263,0.9462969528589558,161654.42012881333,6.381324944351876,6.320265248160407,0.061059696191469115,0.061059696191469115
income,1,96,matern52_0.8h0,matern52,1.9918796602037974,0.8,144970.48672356797,6.580080053628551,6.305701577498618,0.27437847612993327,0.27437847612993327
