age,sex,x0_raw,tau,theta0_mode,theta0_source,theta0,theta0_obs,theta0_smooth,ell_oracle,c_min,c_max,ell0_hat,ell_low,ell_high,ell_star,lambda_hat,B,n_label,n_pilot,N_unlab_total,N_t_full,N_use,age_bin_width,PPCI_theta_mean,PPCI_theta_rmse,PPCI_coverage,PPCI_avg_ci_width,PPCI_sigma2_Y_minus_A_mean,PPCI_sigma2_Y_minus_A_std,PPCI_sigma2_A_mean,PPCI_sigma2_A_std,PPCILO_theta_mean,PPCILO_theta_rmse,PPCILO_coverage,PPCILO_avg_ci_width,PPCILO_sigma2_Y_mean,PPCILO_sigma2_Y_std,PPI_theta_mean,PPI_theta_rmse,PPI_coverage,PPI_avg_ci_width,scale_y
90,1,"[90.0, 1.0]",0.5,smooth,smooth,3.5,3.22,3.5,2.2277601462805627,1.1,1.2,2.3806456465155037,2.618710211167054,2.856774775818604,2.618710211167054,0.00921034984663358,500,200,200,10000,7000,3000,1,3.5829225037724526,0.32538302145165376,0.936,1.1953042599994614,0.04200159452368827,0.008680038114863266,0.061347066681066785,0.0060467389864975315,3.5994601276281784,0.431151529819321,0.93,1.506327605547335,0.07124607140417233,0.006529164921733971,2.52394996086457,1.0298372639098667,0.274,1.4464234663635658,10000.0
91,1,"[91.0, 1.0]",0.5,smooth,smooth,3.5,nan,3.5,2.27144171777626,1.1,1.2,2.2932825035241087,2.5226107538765197,2.7519390042289302,2.5226107538765197,0.00921034984663358,500,200,200,10000,7000,3000,1,3.6451446437334347,0.3524513900961856,0.938,1.2356323013908723,0.04010653052425276,0.008545278807940456,0.05660215905489163,0.005450367294158715,3.6188517497369985,0.42030847322360965,0.936,1.5231602679583824,0.06652988263650775,0.005791532162081481,2.505911825922782,1.0582621456740977,0.286,1.4450114096288398,10000.0
92,1,"[92.0, 1.0]",0.5,smooth,smooth,3.5,nan,3.5,2.3151232892719573,1.1,1.2,2.336964075019806,2.5706604825217867,2.804356890023767,2.5706604825217867,0.00921034984663358,500,200,200,10000,7000,3000,1,3.6321555235637812,0.3461574517636179,0.942,1.2297906522962838,0.039755994060275926,0.008462004245892048,0.056409664868661696,0.005425811057229592,3.605803100347578,0.4158960473375683,0.934,1.5189088953842569,0.06624267348569593,0.005750911245558413,2.505911825922782,1.0582621456740977,0.286,1.4450114096288398,10000.0
93,1,"[93.0, 1.0]",0.5,smooth,smooth,3.5,nan,3.5,2.3588048607676546,1.1,1.2,2.3806456465155033,2.6187102111670537,2.8567747758186037,2.6187102111670537,0.00921034984663358,500,200,200,10000,7000,3000,1,3.619513044656516,0.34040301047566773,0.946,1.2241103552369144,0.039414239114179024,0.008380836988875472,0.056223004342012405,0.005401936026599721,3.5931023504920296,0.4119663515180621,0.934,1.5148002260861417,0.06596315935201866,0.0057114239759351905,2.505911825922782,1.0582621456740977,0.286,1.4450114096288398,10000.0
94,1,"[94.0, 1.0]",0.5,smooth,smooth,3.5,2.64,3.5,2.402486432263352,1.1,1.2,2.5335311467504438,2.7868842614254885,3.0402373761005324,2.786884261425488,0.00921034984663358,500,200,200,10000,7000,3000,1,3.5576754512679707,0.33094828524595743,0.934,1.2101569050529237,0.040940483560700874,0.008199234983662838,0.05957799925848705,0.005671716722058685,3.540767681756958,0.4145311198093688,0.932,1.5067926525896365,0.06928635027238352,0.0060351833839606146,2.492719281115256,1.059080321048694,0.27,1.4497611745825338,10000.0
95,1,"[95.0, 1.0]",0.5,smooth,smooth,3.5,nan,3.5,2.446168003759049,1.1,1.2,2.468008789506898,2.7148096684575878,2.9616105474082772,2.7148096684575878,0.00921034984663358,500,200,200,10000,7000,3000,1,3.5951979033301162,0.330430998953469,0.946,1.2132080770638831,0.038756769218452565,0.00822478044035942,0.055867068057939645,0.005356284076124738,3.568681471636143,0.4054572895528252,0.936,1.506983154992504,0.06542725851053491,0.005635905789118827,2.505911825922782,1.0582621456740977,0.286,1.4450114096288398,10000.0
96,1,"[96.0, 1.0]",0.5,smooth,smooth,3.5,nan,3.5,2.4898495752547465,1.1,1.2,2.511690361002595,2.7628593971028548,3.014028433203114,2.7628593971028548,0.00921034984663358,500,200,200,10000,7000,3000,1,3.5834986418487578,0.32617884310157014,0.95,1.2079748387719245,0.03844085284486092,0.00814987428608732,0.055697670307147965,0.005334514390924351,3.556931680026734,0.402831419751009,0.938,1.5032620043543634,0.06517078091375746,0.005599886567532512,2.505911825922782,1.0582621456740977,0.286,1.4450114096288398,10000.0
97,1,"[97.0, 1.0]",0.5,smooth,smooth,3.5,nan,3.5,2.5335311467504438,1.1,1.2,2.5553719324982924,2.810909125748122,3.0664463189979507,2.8109091257481222,0.00921034984663358,500,200,200,10000,7000,3000,1,3.572085603476011,0.32239237027377965,0.948,1.2028792253139748,0.038133276556154526,0.008077003697850034,0.05553385570938275,0.005313445959895284,3.5454705780583655,0.4005964404342417,0.94,1.4996576084570898,0.06492183132316626,0.00556500561123781,2.505911825922782,1.0582621456740977,0.286,1.4450114096288398,10000.0
98,1,"[98.0, 1.0]",0.5,smooth,smooth,3.46,nan,3.46,2.577212718246141,1.1,1.2,2.5990535039939897,2.858958854393389,3.1188642047927875,2.858958854393389,0.00921034984663358,500,200,200,10000,7000,3000,1,3.5609457772206996,0.3290445348117293,0.944,1.1979155423619823,0.037833867072084144,0.008006144169662398,0.05537550896891554,0.005293071613682939,3.534288375833828,0.40414118436588725,0.936,1.496165091987105,0.06468028968682649,0.005531273401788587,2.505911825922782,1.020779954270541,0.39,1.4450114096288398,10000.0
99,1,"[99.0, 1.0]",0.5,smooth,smooth,3.44,nan,3.44,2.6208942897418384,1.1,1.2,2.642735075489687,2.907008583038656,3.1712820905876242,2.907008583038656,0.00921034984663358,500,200,200,10000,7000,3000,1,3.5500720991265085,0.3309914305190797,0.942,1.193080373392543,0.037542469567130414,0.007937252928757374,0.055222513981184634,0.005273379224727237,3.5233707398624743,0.40519693059407913,0.934,1.4927787421729033,0.06444600726196338,0.005498656920908621,2.505911825922782,1.0021118640538484,0.4,1.4450114096288398,10000.0
