setting,method,x0_index,x0_1,n_reps,n_unlab_clusters,coverage,coverage_cluster_se,coverage_cluster_sd,bias,rmse,se_mean,width,emp_sd,omega_mean,omega_clipped_rate,omega_sd_mean,omega_min_mean,omega_max_mean,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,tuning_seconds_mean_per_unlab_draw,estimation_seconds_mean,amortized_procedure_seconds_mean,x0_2,x0_3
base_q0.5_s1,PPI,3,0.7,1000,50,0.0,0.0,0.0,0.9988442110450496,1.0003372634632817,0.0530882180588063,0.2081058147905209,0.0546614178887188,,,,,,,,,0.0,8.490496501326561e-05,8.490496501326561e-05,0.85,0.85
base_q0.5_s1,PPI,4,0.85,1000,50,0.0,0.0,0.0,1.451054499416314,1.4520467493361664,0.0530717199373161,0.2080411421542792,0.0536980955608624,,,,,,,,,0.0,8.437492698431016e-05,8.437492698431016e-05,0.7,0.7
base_q0.5_s1,PPI,5,0.85,1000,50,0.0,0.0,0.0,1.3930365751100586,1.3940254725031656,0.053079108952522,0.2080701070938864,0.0525250156647453,,,,,,,,,0.0,8.431206271052361e-05,8.431206271052361e-05,0.7,0.85
base_q0.5_s1,PPI,6,0.85,1000,50,0.0,0.0,0.0,1.0715678227581438,1.0728550627195108,0.0531847725158567,0.2084843082621585,0.0525656730408662,,,,,,,,,0.0,8.631145767867565e-05,8.631145767867565e-05,0.85,0.7
base_q0.5_s1,PPI,7,0.85,1000,50,0.0,0.0,0.0,1.0159410513322569,1.017332165283796,0.0531982981466397,0.2085373287348277,0.0532103945203449,,,,,,,,,0.0,8.596865367144346e-05,8.596865367144346e-05,0.85,0.85
base_q0.9_s1,LO,0,0.7,1000,50,0.944,0.0066455447712074,0.0469910977239957,-0.0278906862368892,0.3594734426326374,0.3267845762818177,1.2809955390247256,0.3585691529075142,,,,,,47.01628503412778,,,11.370885759796948,0.0033216245463117,0.5718659125361591,0.7,0.7
base_q0.9_s1,LO,1,0.7,1000,50,0.948,0.006540298938434,0.0462468973035389,-0.0369876758527116,0.3305616289231448,0.3096589779526018,1.2138631935741993,0.328650138086997,,,,,,44.023522750712246,,,11.36372777696699,0.0033213392812758,0.5715077281296254,0.7,0.85
base_q0.9_s1,LO,2,0.7,1000,50,0.951,0.0080165644837703,0.0566856710829328,-0.0310256437772891,0.3308945118053243,0.3080208973726221,1.2074419177006792,0.3296016149773608,,,,,,44.69333741334584,,,11.365334635414182,0.0033233804227784,0.5715901121934875,0.85,0.7
base_q0.9_s1,LO,3,0.7,1000,50,0.929,0.007705020891521,0.0544827252157853,0.0078178851841453,0.3115884419314845,0.2902536373668463,1.1377942584780378,0.3116462115568154,,,,,,39.57600105340045,,,11.3846619046852,0.0033341288007795,0.5725672240350395,0.85,0.85
base_q0.9_s1,LO,4,0.85,1000,50,0.94,0.0065465367070797,0.0462910049886275,-0.0224629984991091,0.3186428821673915,0.2940603319542201,1.152716501260543,0.3180091663525683,,,,,,43.15018445740539,,,11.38797388382256,0.0033342619528993,0.5727329561440274,0.7,0.7
base_q0.9_s1,LO,5,0.85,1000,50,0.924,0.0075916172889065,0.0536808406515883,-0.0100989274880437,0.3066390998388258,0.2804722004635842,1.0994510258172498,0.3066261058395697,,,,,,38.15759016222575,,,11.3816378422454,0.0033340475065633,0.5724159396188334,0.7,0.85
base_q0.9_s1,LO,6,0.85,1000,50,0.953,0.0059607560128643,0.0421489099769483,-0.0157631746854388,0.3025484373449716,0.2839549611528947,1.1131034477193475,0.3022886992949654,,,,,,39.64084459657322,,,11.26392232492566,0.0033324750401079,0.566528591286391,0.85,0.7
